pci_intrs:1:config:cpu	1
pci_intrs:1:config:name	mpt1
pci_intrs:1:config:pil	5
pci_intrs:1:config:type	msi
pci_intrs:2:config:cpu	37
pci_intrs:2:config:name	mpt0
pci_intrs:2:config:pil	5
pci_intrs:2:config:type	msi
pci_intrs:3:config:cpu	73
pci_intrs:3:config:name	emlxs0
pci_intrs:3:config:pil	6
pci_intrs:3:config:type	msi
pci_intrs:4:config:cpu	74
pci_intrs:4:config:name	emlxs0
pci_intrs:4:config:pil	6
pci_intrs:4:config:type	msi
pci_intrs:5:config:cpu	75
pci_intrs:5:config:name	emlxs1
pci_intrs:5:config:pil	6
pci_intrs:5:config:type	msi
pci_intrs:6:config:cpu	76
pci_intrs:6:config:name	emlxs1
pci_intrs:6:config:pil	6
pci_intrs:6:config:type	msi
pci_intrs:7:config:cpu	109
pci_intrs:7:config:name	emlxs2
pci_intrs:7:config:pil	6
pci_intrs:7:config:type	msi
pci_intrs:8:config:cpu	110
pci_intrs:8:config:name	emlxs2
pci_intrs:8:config:pil	6
pci_intrs:8:config:type	msi
pci_intrs:9:config:cpu	111
pci_intrs:9:config:name	emlxs3
pci_intrs:9:config:pil	6
pci_intrs:9:config:type	msi
pci_intrs:10:config:cpu	112
pci_intrs:10:config:name	emlxs3
pci_intrs:10:config:pil	6
pci_intrs:10:config:type	msi
pci_intrs:11:config:cpu	145
pci_intrs:11:config:name	emlxs4
pci_intrs:11:config:pil	6
pci_intrs:11:config:type	msi
pci_intrs:12:config:cpu	146
pci_intrs:12:config:name	emlxs4
pci_intrs:12:config:pil	6
pci_intrs:12:config:type	msi
pci_intrs:13:config:cpu	147
pci_intrs:13:config:name	emlxs5
pci_intrs:13:config:pil	6
pci_intrs:13:config:type	msi
pci_intrs:14:config:cpu	148
pci_intrs:14:config:name	emlxs5
pci_intrs:14:config:pil	6
pci_intrs:14:config:type	msi
pci_intrs:15:config:cpu	181
pci_intrs:15:config:name	emlxs6
pci_intrs:15:config:pil	6
pci_intrs:15:config:type	msi
pci_intrs:16:config:cpu	182
pci_intrs:16:config:name	emlxs6
pci_intrs:16:config:pil	6
pci_intrs:16:config:type	msi
pci_intrs:17:config:cpu	183
pci_intrs:17:config:name	emlxs7
pci_intrs:17:config:pil	6
pci_intrs:17:config:type	msi
pci_intrs:18:config:cpu	184
pci_intrs:18:config:name	emlxs7
pci_intrs:18:config:pil	6
pci_intrs:18:config:type	msi
pci_intrs:19:config:cpu	217
pci_intrs:19:config:name	emlxs8
pci_intrs:19:config:pil	6
pci_intrs:19:config:type	msi
pci_intrs:20:config:cpu	218
pci_intrs:20:config:name	emlxs8
pci_intrs:20:config:pil	6
pci_intrs:20:config:type	msi
pci_intrs:21:config:cpu	219
pci_intrs:21:config:name	emlxs9
pci_intrs:21:config:pil	6
pci_intrs:21:config:type	msi
pci_intrs:22:config:cpu	220
pci_intrs:22:config:name	emlxs9
pci_intrs:22:config:pil	6
pci_intrs:22:config:type	msi
pci_intrs:23:config:cpu	11
pci_intrs:23:config:name	nxge6
pci_intrs:23:config:pil	6
pci_intrs:23:config:type	msix
pci_intrs:24:config:cpu	12
pci_intrs:24:config:name	nxge6
pci_intrs:24:config:pil	6
pci_intrs:24:config:type	msix
pci_intrs:25:config:cpu	13
pci_intrs:25:config:name	nxge6
pci_intrs:25:config:pil	6
pci_intrs:25:config:type	msix
pci_intrs:26:config:cpu	14
pci_intrs:26:config:name	nxge6
pci_intrs:26:config:pil	6
pci_intrs:26:config:type	msix
pci_intrs:27:config:cpu	15
pci_intrs:27:config:name	nxge7
pci_intrs:27:config:pil	6
pci_intrs:27:config:type	msix
pci_intrs:28:config:cpu	16
pci_intrs:28:config:name	nxge7
pci_intrs:28:config:pil	6
pci_intrs:28:config:type	msix
pci_intrs:29:config:cpu	17
pci_intrs:29:config:name	nxge7
pci_intrs:29:config:pil	6
pci_intrs:29:config:type	msix
pci_intrs:30:config:cpu	18
pci_intrs:30:config:name	nxge7
pci_intrs:30:config:pil	6
pci_intrs:30:config:type	msix
pci_intrs:43:config:cpu	131
pci_intrs:43:config:name	nxge11
pci_intrs:43:config:pil	6
pci_intrs:43:config:type	msix
pci_intrs:44:config:cpu	132
pci_intrs:44:config:name	nxge11
pci_intrs:44:config:pil	6
pci_intrs:44:config:type	msix
pci_intrs:45:config:cpu	133
pci_intrs:45:config:name	nxge11
pci_intrs:45:config:pil	6
pci_intrs:45:config:type	msix
pci_intrs:46:config:cpu	134
pci_intrs:46:config:name	nxge11
pci_intrs:46:config:pil	6
pci_intrs:46:config:type	msix
pci_intrs:47:config:cpu	135
pci_intrs:47:config:name	nxge11
pci_intrs:47:config:pil	6
pci_intrs:47:config:type	msix
pci_intrs:48:config:cpu	136
pci_intrs:48:config:name	nxge11
pci_intrs:48:config:pil	6
pci_intrs:48:config:type	msix
pci_intrs:49:config:cpu	137
pci_intrs:49:config:name	nxge11
pci_intrs:49:config:pil	6
pci_intrs:49:config:type	msix
pci_intrs:50:config:cpu	138
pci_intrs:50:config:name	nxge11
pci_intrs:50:config:pil	6
pci_intrs:50:config:type	msix
pci_intrs:75:config:cpu	87
pci_intrs:75:config:name	nxge5
pci_intrs:75:config:pil	6
pci_intrs:75:config:type	msix
pci_intrs:76:config:cpu	88
pci_intrs:76:config:name	nxge5
pci_intrs:76:config:pil	6
pci_intrs:76:config:type	msix
pci_intrs:77:config:cpu	89
pci_intrs:77:config:name	nxge5
pci_intrs:77:config:pil	6
pci_intrs:77:config:type	msix
pci_intrs:78:config:cpu	90
pci_intrs:78:config:name	nxge5
pci_intrs:78:config:pil	6
pci_intrs:78:config:type	msix
pci_intrs:79:config:cpu	91
pci_intrs:79:config:name	nxge5
pci_intrs:79:config:pil	6
pci_intrs:79:config:type	msix
pci_intrs:80:config:cpu	92
pci_intrs:80:config:name	nxge5
pci_intrs:80:config:pil	6
pci_intrs:80:config:type	msix
pci_intrs:81:config:cpu	93
pci_intrs:81:config:name	nxge5
pci_intrs:81:config:pil	6
pci_intrs:81:config:type	msix
pci_intrs:82:config:cpu	94
pci_intrs:82:config:name	nxge5
pci_intrs:82:config:pil	6
pci_intrs:82:config:type	msix
pci_intrs:91:config:cpu	246
pci_intrs:91:config:name	bge1
pci_intrs:91:config:pil	6
pci_intrs:91:config:type	fixed
pci_intrs:92:config:cpu	244
pci_intrs:92:config:name	bge3
pci_intrs:92:config:pil	6
pci_intrs:92:config:type	fixed
pci_intrs:93:config:cpu	245
pci_intrs:93:config:name	bge0
pci_intrs:93:config:pil	6
pci_intrs:93:config:type	fixed
pci_intrs:94:config:cpu	243
pci_intrs:94:config:name	bge2
pci_intrs:94:config:pil	6
pci_intrs:94:config:type	fixed
pci_intrs:95:config:cpu	19
pci_intrs:95:config:name	nxge8
pci_intrs:95:config:pil	6
pci_intrs:95:config:type	msix
pci_intrs:96:config:cpu	20
pci_intrs:96:config:name	nxge8
pci_intrs:96:config:pil	6
pci_intrs:96:config:type	msix
pci_intrs:97:config:cpu	21
pci_intrs:97:config:name	nxge8
pci_intrs:97:config:pil	6
pci_intrs:97:config:type	msix
pci_intrs:98:config:cpu	22
pci_intrs:98:config:name	nxge8
pci_intrs:98:config:pil	6
pci_intrs:98:config:type	msix
pci_intrs:99:config:cpu	23
pci_intrs:99:config:name	nxge9
pci_intrs:99:config:pil	6
pci_intrs:99:config:type	msix
pci_intrs:100:config:cpu	247
pci_intrs:100:config:name	nxge9
pci_intrs:100:config:pil	6
pci_intrs:100:config:type	msix
pci_intrs:101:config:cpu	206
pci_intrs:101:config:name	nxge9
pci_intrs:101:config:pil	6
pci_intrs:101:config:type	msix
pci_intrs:102:config:cpu	170
pci_intrs:102:config:name	nxge9
pci_intrs:102:config:pil	6
pci_intrs:102:config:type	msix
pci_intrs:103:config:cpu	43
pci_intrs:103:config:name	nxge0
pci_intrs:103:config:pil	6
pci_intrs:103:config:type	msix
pci_intrs:104:config:cpu	44
pci_intrs:104:config:name	nxge0
pci_intrs:104:config:pil	6
pci_intrs:104:config:type	msix
pci_intrs:105:config:cpu	45
pci_intrs:105:config:name	nxge0
pci_intrs:105:config:pil	6
pci_intrs:105:config:type	msix
pci_intrs:106:config:cpu	46
pci_intrs:106:config:name	nxge0
pci_intrs:106:config:pil	6
pci_intrs:106:config:type	msix
pci_intrs:107:config:cpu	47
pci_intrs:107:config:name	nxge1
pci_intrs:107:config:pil	6
pci_intrs:107:config:type	msix
pci_intrs:108:config:cpu	48
pci_intrs:108:config:name	nxge1
pci_intrs:108:config:pil	6
pci_intrs:108:config:type	msix
pci_intrs:109:config:cpu	49
pci_intrs:109:config:name	nxge1
pci_intrs:109:config:pil	6
pci_intrs:109:config:type	msix
pci_intrs:110:config:cpu	50
pci_intrs:110:config:name	nxge1
pci_intrs:110:config:pil	6
pci_intrs:110:config:type	msix
pci_intrs:111:config:cpu	51
pci_intrs:111:config:name	nxge2
pci_intrs:111:config:pil	6
pci_intrs:111:config:type	msix
pci_intrs:112:config:cpu	52
pci_intrs:112:config:name	nxge2
pci_intrs:112:config:pil	6
pci_intrs:112:config:type	msix
pci_intrs:113:config:cpu	53
pci_intrs:113:config:name	nxge2
pci_intrs:113:config:pil	6
pci_intrs:113:config:type	msix
pci_intrs:114:config:cpu	54
pci_intrs:114:config:name	nxge2
pci_intrs:114:config:pil	6
pci_intrs:114:config:type	msix
pci_intrs:115:config:cpu	55
pci_intrs:115:config:name	nxge3
pci_intrs:115:config:pil	6
pci_intrs:115:config:type	msix
pci_intrs:116:config:cpu	56
pci_intrs:116:config:name	nxge3
pci_intrs:116:config:pil	6
pci_intrs:116:config:type	msix
pci_intrs:117:config:cpu	57
pci_intrs:117:config:name	nxge3
pci_intrs:117:config:pil	6
pci_intrs:117:config:type	msix
pci_intrs:118:config:cpu	58
pci_intrs:118:config:name	nxge3
pci_intrs:118:config:pil	6
pci_intrs:118:config:type	msix
pci_intrs:119:config:cpu	139
pci_intrs:119:config:name	nxge10
pci_intrs:119:config:pil	6
pci_intrs:119:config:type	msix
pci_intrs:120:config:cpu	140
pci_intrs:120:config:name	nxge10
pci_intrs:120:config:pil	6
pci_intrs:120:config:type	msix
pci_intrs:121:config:cpu	149
pci_intrs:121:config:name	nxge10
pci_intrs:121:config:pil	6
pci_intrs:121:config:type	msix
pci_intrs:122:config:cpu	150
pci_intrs:122:config:name	nxge10
pci_intrs:122:config:pil	6
pci_intrs:122:config:type	msix
pci_intrs:123:config:cpu	151
pci_intrs:123:config:name	nxge10
pci_intrs:123:config:pil	6
pci_intrs:123:config:type	msix
pci_intrs:124:config:cpu	152
pci_intrs:124:config:name	nxge10
pci_intrs:124:config:pil	6
