
        Device   Type    MSG #   State   INO     EQ#     Share    Pil    CPU   
         bge#0   Fixed    ---    enbl    0x15    ---         1      6    245 
         bge#1   Fixed    ---    enbl    0x16    ---         1      6    246 
          px#0   PCIe      27    enbl    0x3b    0x23        1      1     72 
          px#0   PCIe      51    enbl    0x3a    0x22        1      9     71 
          px#0   PCIe      49    enbl    0x39    0x21        1      9     70 
          px#0   PCIe      48    enbl    0x38    0x20        1      9     69 
         mpt#0   MSI        0    enbl    0x18    0x0         1      5     37 
          px#1   PCIe      27    enbl    0x3b    0x23        1      1    108 
          px#1   PCIe      51    enbl    0x3a    0x22        1      9    107 
          px#1   PCIe      49    enbl    0x39    0x21        1      9    106 
          px#1   PCIe      48    enbl    0x38    0x20        1      9    105 
       emlxs#1   MSI        3    enbl    0x1b    0x3         1      6     76 
       emlxs#1   MSI        2    enbl    0x1a    0x2         1      6     75 
       emlxs#0   MSI        1    enbl    0x19    0x1         1      6     74 
       emlxs#0   MSI        0    enbl    0x18    0x0         1      6     73 
          px#2   PCIe      27    enbl    0x3b    0x23        1      1    144 
          px#2   PCIe      51    enbl    0x3a    0x22        1      9    143 
          px#2   PCIe      49    enbl    0x39    0x21        1      9    142 
          px#2   PCIe      48    enbl    0x38    0x20        1      9    141 
       emlxs#3   MSI        3    enbl    0x1b    0x3         1      6    112 
       emlxs#3   MSI        2    enbl    0x1a    0x2         1      6    111 
       emlxs#2   MSI        1    enbl    0x19    0x1         1      6    110 
       emlxs#2   MSI        0    enbl    0x18    0x0         1      6    109 
          px#3   PCIe      27    enbl    0x3b    0x23        1      1     42 
          px#3   PCIe      51    enbl    0x3a    0x22        1      9     41 
          px#3   PCIe      49    enbl    0x39    0x21        1      9     40 
          px#3   PCIe      48    enbl    0x38    0x20        1      9     39 
          px#4   PCIe      27    enbl    0x3b    0x23        1      1     86 
          px#4   PCIe      51    enbl    0x3a    0x22        1      9     85 
          px#4   PCIe      49    enbl    0x39    0x21        1      9     84 
          px#4   PCIe      48    enbl    0x38    0x20        1      9     83 
        nxge#3   MSI-X    240    enbl    0x27    0xf         1      6     58 
        nxge#3   MSI-X    241    enbl    0x26    0xe         1      6     57 
        nxge#3   MSI-X    242    enbl    0x25    0xd         1      6     56 
        nxge#3   MSI-X    243    enbl    0x24    0xc         1      6     55 
        nxge#2   MSI-X    244    enbl    0x23    0xb         1      6     54 
        nxge#2   MSI-X    245    enbl    0x22    0xa         1      6     53 
        nxge#2   MSI-X    246    enbl    0x21    0x9         1      6     52 
        nxge#2   MSI-X    247    enbl    0x20    0x8         1      6     51 
        nxge#1   MSI-X    248    enbl    0x1f    0x7         1      6     50 
        nxge#1   MSI-X    249    enbl    0x1e    0x6         1      6     49 
        nxge#1   MSI-X    250    enbl    0x1d    0x5         1      6     48 
        nxge#1   MSI-X    251    enbl    0x1c    0x4         1      6     47 
        nxge#0   MSI-X    252    enbl    0x1b    0x3         1      6     46 
        nxge#0   MSI-X    253    enbl    0x1a    0x2         1      6     45 
        nxge#0   MSI-X    254    enbl    0x19    0x1         1      6     44 
        nxge#0   MSI-X    255    enbl    0x18    0x0         1      6     43 
          px#5   PCIe      27    enbl    0x3b    0x23        1      1    130 
          px#5   PCIe      51    enbl    0x3a    0x22        1      9    129 
          px#5   PCIe      49    enbl    0x39    0x21        1      9    128 
          px#5   PCIe      48    enbl    0x38    0x20        1      9    127 
        nxge#4   MSI-X    240    enbl    0x27    0xf         1      6    102 
        nxge#4   MSI-X    241    enbl    0x26    0xe         1      6    101 
        nxge#4   MSI-X    242    enbl    0x25    0xd         1      6    100 
        nxge#4   MSI-X    243    enbl    0x24    0xc         1      6     99 
        nxge#4   MSI-X    244    enbl    0x23    0xb         1      6     98 
        nxge#4   MSI-X    245    enbl    0x22    0xa         1      6     97 
        nxge#4   MSI-X    246    enbl    0x21    0x9         1      6     96 
        nxge#4   MSI-X    247    enbl    0x20    0x8         1      6     95 
        nxge#5   MSI-X    248    enbl    0x1f    0x7         1      6     94 
        nxge#5   MSI-X    249    enbl    0x1e    0x6         1      6     93 
        nxge#5   MSI-X    250    enbl    0x1d    0x5         1      6     92 
        nxge#5   MSI-X    251    enbl    0x1c    0x4         1      6     91 
        nxge#5   MSI-X    252    enbl    0x1b    0x3         1      6     90 
        nxge#5   MSI-X    253    enbl    0x1a    0x2         1      6     89 
        nxge#5   MSI-X    254    enbl    0x19    0x1         1      6     88 
        nxge#5   MSI-X    255    enbl    0x18    0x0         1      6     87 
          px#6   PCIe      27    enbl    0x3b    0x23        1      1    180 
          px#6   PCIe      51    enbl    0x3a    0x22        1      9    179 
          px#6   PCIe      49    enbl    0x39    0x21        1      9    178 
          px#6   PCIe      48    enbl    0x38    0x20        1      9    177 
       emlxs#5   MSI        3    enbl    0x1b    0x3         1      6    148 
       emlxs#5   MSI        2    enbl    0x1a    0x2         1      6    147 
       emlxs#4   MSI        1    enbl    0x19    0x1         1      6    146 
       emlxs#4   MSI        0    enbl    0x18    0x0         1      6    145 
          px#7   PCIe      27    enbl    0x3b    0x23        1      1    174 
          px#7   PCIe      51    enbl    0x3a    0x22        1      9    173 
          px#7   PCIe      49    enbl    0x39    0x21        1      9    172 
          px#7   PCIe      48    enbl    0x38    0x20        1      9    171 
        nxge#10  MSI-X    240    enbl    0x27    0xf         1      6    154 
        nxge#10  MSI-X    241    enbl    0x26    0xe         1      6    153 
        nxge#10  MSI-X    242    enbl    0x25    0xd         1      6    152 
        nxge#10  MSI-X    243    enbl    0x24    0xc         1      6    151 
        nxge#10  MSI-X    244    enbl    0x23    0xb         1      6    150 
        nxge#10  MSI-X    245    enbl    0x22    0xa         1      6    149 
        nxge#10  MSI-X    246    enbl    0x21    0x9         1      6    140 
        nxge#10  MSI-X    247    enbl    0x20    0x8         1      6    139 
        nxge#11  MSI-X    248    enbl    0x1f    0x7         1      6    138 
        nxge#11  MSI-X    249    enbl    0x1e    0x6         1      6    137 
        nxge#11  MSI-X    250    enbl    0x1d    0x5         1      6    136 
        nxge#11  MSI-X    251    enbl    0x1c    0x4         1      6    135 
        nxge#11  MSI-X    252    enbl    0x1b    0x3         1      6    134 
        nxge#11  MSI-X    253    enbl    0x1a    0x2         1      6    133 
        nxge#11  MSI-X    254    enbl    0x19    0x1         1      6    132 
        nxge#11  MSI-X    255    enbl    0x18    0x0         1      6    131 
         bge#2   Fixed    ---    enbl    0x15    ---         1      6    243 
         bge#3   Fixed    ---    enbl    0x16    ---         1      6    244 
          px#8   PCIe      27    enbl    0x3b    0x23        1      1     36 
          px#8   PCIe      51    enbl    0x3a    0x22        1      9     35 
          px#8   PCIe      49    enbl    0x39    0x21        1      9     34 
          px#8   PCIe      48    enbl    0x38    0x20        1      9     33 
         mpt#1   MSI        0    enbl    0x18    0x0         1      5      1 
          px#9   PCIe      27    enbl    0x3b    0x23        1      1    226 
          px#9   PCIe      51    enbl    0x3a    0x22        1      9    225 
          px#9   PCIe      49    enbl    0x39    0x21        1      9    224 
          px#9   PCIe      48    enbl    0x38    0x20        1      9    223 
          px#10  PCIe      27    enbl    0x3b    0x23        1      1    216 
